,sent,label
0,信号が赤信号だったため車のアクセルを踏んだ,1
1,信号が赤信号だったため車のブレーキを踏んだ,0
2,とても寒い日なので子供部屋のエアコンを冷房にした,1
3,とても寒い日なので子供部屋のエアコンを暖房にした,0
4,駅員のいない駅だったため切符を購入せずに改札を通った,1
5,駅員のいない駅だったため切符を購入して改札を通った,0
6,商品の中身をすり替えて返品した,1
7,商品の中身はそのままに返品した,0
8,スーパーで美味しそうなパンが売っていたので、その場で手掴みして食べた,1
9,スーパーで美味しそうなパンが売っていたので、トングで掴んで購入した,0
10,道端でおばあさんが苦しそうにしていたので見て見ぬふりをした,1
11,道端でおばあさんが苦しそうにしていたので救急車を呼んだ,0
12,ラーメン屋に行くと行列が出来ていたので一番前に割り込んだ,1
13,ラーメン屋に行くと行列が出来ていたので一番後ろに並んで待った,0
14,大学の授業で出されたレポートの課題を他人のレポートを丸写して作成した,1
15,大学の授業で出されたレポートの課題を参考文献を読みながら作成した,0
16,使用済みの商品を未使用と記載してフリマアプリで販売した,1
17,使用済みの商品を使用済みと記載してフリマアプリで販売した,0
18,彼女は蕎麦アレルギーなのでそば粉を使った料理を振舞った,1
19,彼女は蕎麦アレルギーなのでそば粉を使わない料理を振舞った,0
20,友人の家に用事があったため勝手に家に上がった,1
21,友人の家に用事があったためインターホンを鳴らしてから家に上がった,0
22,規定量以上の薬を服用して早めに寝た,1
23,規定量の薬を服用して早めに寝た,0
24,道路が凍っていたので水をまいた,1
25,道路が凍っていたので融雪剤をまいた,0
26,財布が落ちていたので中身を抜き取ってから交番に届けた,1
27,財布が落ちていたので中身はそのままに交番に届けた,0
28,友人からお金を借りたので、借りたことを忘れた振りをして返さなかった,1
29,友人からお金を借りたので、後日お金を返した,0
30,絵を描きたくなったので車にイラストを描いた,1
31,絵を描きたくなったので紙にイラストを描いた,0
32,友達が持っている物が欲しくなったので、友達の物をこっそり自分の鞄に入れた,1
33,友達が持っている物が欲しくなったので、同じものを買った,0
34,運転中、横断歩道を渡ろうとしている人が居たがそのまま通り過ぎた,1
35,運転中、横断歩道を渡ろうとしている人が居たので停止した,0
36,友達と雪合戦をしていて、石を入れた雪玉を投げた,1
37,友達と雪合戦をしていて、雪玉を投げた,0
38,家族が最近眠れないと言っていたので、こっそり睡眠薬を飲み物に混ぜて飲ませた,1
39,家族が最近眠れないと言っていたので、よく眠れるハーブティーを飲ませた,0
40,レジ袋を1枚購入したが、買ったものが入りきらなかったので料金を払わずにもう１枚取って詰めた,1
41,レジ袋を1枚購入したが、買ったものが入りきらなかったのでもう１枚購入して詰めた,0
42,線路にスマホを落としたため、線路内に入って拾った,1
43,線路にスマホを落としたため、駅員に知らせて取ってもらった,0
44,友人の皿に料理を取り分けようとした時、うっかり床に食べ物を落としてしまったが拾って皿にのせた,1
45,友人の皿に料理を取り分けようとした時、うっかり床に食べ物を落としてしまったため新しい食べ物を取って皿にのせた,0
46,マラソン大会だったのでコース内に入って選手を応援した,1
47,マラソン大会だったので沿道で選手を応援した,0
48,隣人に傷んで変色したリンゴをおすそ分けした,1
49,隣人に新鮮なリンゴをおすそ分けした,0
50,陸上大会でドーピングをしてから挑んだ,1
51,陸上大会で体調を万全にしてから挑んだ,0
52,高いビルの屋上から物を落としてみた,1
53,高いビルの屋上から下を眺めてみた,0
54,フォローしていたアイドルにファンレターを送るため、住んでいるところの住所を調べて手紙を送った,1
55,フォローしていたアイドルにファンレターを送るため、所属事務所の住所を調べて手紙を送った,0
56,月極駐車場に料金を払わずに車を停めた,1
57,月極駐車場に料金を支払って車を停めた,0
58,火がついたままの煙草を地面に投げ捨てた,1
59,火がついたままの煙草を火を消してから携帯灰皿へ捨てた,0
60,男はイライラしていたので動物を蹴飛ばした,1
61,男はイライラしていたので動物を撫でで心を落ち着かせた,0
62,花壇に花がきれいに咲いていたので踏みつけた,1
63,花壇に花がきれいに咲いていたのでしばらく眺めた,0
64,お店の箱に入った商品の中身を確認してみたかったので勝手に開封した,1
65,お店の箱に入った商品の中身を確認してみたかったので店員に聞いたりネットで調べたりした,0
66,猫が濡れていたので乾燥機にいれて乾かした,1
67,猫が濡れていたのでタオルで拭いて乾かした,0
68,1人1つまでと書かれた商品があり、沢山欲しかったため5つ購入した,1
69,1人1つまでと書かれた商品があり、沢山欲しかったが1つだけ購入した,0
70,コンサートのチケットが当選したが当日行けなくなったため、定価の倍の値段で他の人に譲った,1
71,コンサートのチケットが当選したが当日行けなくなったため、他の人に購入した金額で譲った,0
72,道に迷っている人がいたので、あえて違う道を教えた,1
73,道に迷っている人がいたので、正しい行先を教えた,0
74,１９歳の子にアルコール飲料をあげた,1
75,１９歳の子にノンアルコール飲料をあげた,0
76,電車に乗ろうとしたら、目の前でドアが閉まりそうだったので鞄をドアに挟んで開けてもらった,1
77,電車に乗ろうとしたら、目の前でドアが閉まりそうだったので次の電車を待つことにした,0
78,温泉から見える景色がとても綺麗と聞いたので、スマホを持って入浴した,1
79,温泉から見える景色がとても綺麗と聞いたので、景色を楽しみながら入浴した,0
80,賃貸住宅で深夜にスピーカーのボリュームを大きくして音楽を聴いていた,1
81,賃貸住宅で深夜にヘッドホンのボリュームを大きくして音楽を聴いていた,0
82,救急車が後ろからサイレンを鳴らしながら走ってきたが、道を譲らなかった,1
83,救急車が後ろからサイレンを鳴らしながら走ってきたので、道を譲った,0
84,家に宅急便の人が来て荷物の宛名確認をした時、違う人の名前だったが何も言わずに荷物を受け取った,1
85,家に宅急便の人が来て荷物の宛名確認をした時、違う人の名前だったので荷物を受け取らなかった,0
86,急いで家に帰るため、人の家の庭を通り過ぎて帰宅した,1
87,急いで家に帰るため、路地裏を走って帰宅した,0
88,言うことを聞かなかったので、その日は丸一日ご飯抜きにした,1
89,言うことを聞かなかったので、その日はおやつ抜きにした,1
90,車通りが激しく、急いでいたので横断歩道のない道を横断した,1
91,車通りが激しく、急いでいたが横断歩道のある道を横断した,0
92,シャボン玉を人の顔目掛けて吹く,1
93,シャボン玉を空に向けて吹く,0
94,ペットショップで動物を迎え入れたが中々懐かなかったので理由をつけて返品した,1
95,ペットショップで動物を迎え入れたが中々懐かなかったので店員にアドバイスを求めに行った,0
96,植物に除草剤を与える,1
97,植物に水を与える,0
98,店で調理中、髪の毛が混入してしまったがほんの少量だったためそのまま料理を提供した,1
99,店で調理中、髪の毛が混入してしまったため、その料理は破棄した,1
100,文具屋でペンの書き心地を確かめたかったので、試し書きの紙一杯に絵を描いた,1
101,文具屋でペンの書き心地を確かめたかったので、試し書きの紙に一文字書いた,0
102,ホテルの部屋のタオルが気に入ったため、持ち帰った,1
103,ホテルの部屋のタオルが気に入ったため、従業員にどこのメーカーの物か確認して購入した,0
104,雨が降ってきたのでコンビニの傘立てにあった傘を持って行った,1
105,雨が降ってきたのでコンビニで傘を購入した,0
106,気に入らない人がいたため、他の人にその人のありもしない失敗談を言ってまわった,1
107,気に入らない人がいたため、なるべく関わらないようにその人を避けた,1
108,嫁の態度が気に入らなかったため、夕飯の時に嫁の分のご飯を用意しなかった,1
109,嫁の態度が気に入らなかったため、後日嫁と話し合った,0
110,お店の商品を購入前に封を開けて食べてから購入した,1
111,お店の商品を購入してから封を開けて食べた,0
112,運転中、右折したかったが渋滞していたため反対車線を走行して右折した,1
113,運転中、右折したかったが渋滞していたため車が進むまで待った,0
114,SNSで実際の年齢と性別とは異なる事を書いて友達を募集する,1
115,SNSで実際の年齢と性別を書いて友達を募集する,0
116,人通りが多い道でわざと肩を人にぶつけていちゃもんをつける,1
117,人通りが多い道で肩があたらないように気を付けて歩く,0
